"name","city","state","level_a","level_b","level_c","level_d","last_inspection_end_date","num_level_a","num_level_b","num_level_c","num_level_d","total_population","Total_Population"
"ADAMS COUNTY DET CENTER","NATCHEZ","MS",1876.461078,266.4311377,6.724550898,4.25748503,2025-01-16,1876.461078,266.4311377,6.724550898,4.25748503,2153.874251628,2153.874251628
"ADELANTO ICE PROCESSING CENTER","ADELANTO","CA",6.401197605,4.323353293,22.60479042,32.63473054,2024-07-18,6.401197605,4.323353293,22.60479042,32.63473054,65.964071858,65.964071858
"ALAMANCE COUNTY DETENTION FACILITY","GRAHAM","NC",4.329341317,3.461077844,6.083832335,6.185628743,2024-09-19,4.329341317,3.461077844,6.083832335,6.185628743,20.059880239,20.059880239
"ALEXANDRIA STAGING FACILITY","ALEXANDRIA","LA",137.5209581,47.41317365,76.00598802,52.48502994,2024-08-29,137.5209581,47.41317365,76.00598802,52.48502994,313.42514971,313.42514971
"ALLEGANY COUNTY JAIL","BELMONT","NY",1.221556886,0.018,0,0,NA,1.221556886,0.018,0,0,1.239556886,1.239556886
"ALLEN PARISH PUBLIC SAFETY COMPLEX","OBERLIN","LA",101.3113772,30.25149701,33.76646707,10.66467066,2024-12-12,101.3113772,30.25149701,33.76646707,10.66467066,175.99401194,175.99401194
"ATLANTAUSPEN","ATLANTA"," ",17.34131737,3.610778443,3.053892216,2.724550898,NA,17.34131737,3.610778443,3.053892216,2.724550898,26.730538927,26.730538927
"BAKER COUNTY SHERIFF DEPT","MACCLENNY","FL",26.22155689,38.64071856,88.65269461,88.73053892,2024-10-24,26.22155689,38.64071856,88.65269461,88.73053892,242.24550898,242.24550898
"BERLIN FED CORR INST","BERLIN","NH",1.748502994,0.0898,0.97005988,0.71257485,NA,1.748502994,0.0898,0.97005988,0.71257485,3.520937724,3.520937724
"BLUEBONNET DETENTION FACILITY","ANSON","TX",311.3053892,164.5508982,241.6167665,104.5149701,2024-12-12,311.3053892,164.5508982,241.6167665,104.5149701,821.988024,821.988024
"BOONE COUNTY JAIL","BURLINGTON","KY",28.32335329,22.92215569,33.32934132,56.43113772,2024-11-21,28.32335329,22.92215569,33.32934132,56.43113772,141.00598802,141.00598802
"BROWARD COUNTY JAIL","FT.LAUDERDALE","FL",0.335329341,0.209580838,1.053892216,0.233532934,NA,0.335329341,0.209580838,1.053892216,0.233532934,1.832335329,1.832335329
"BROWARD TRANSITIONAL CENTER","POMPANO BEACH","FL",495.4670659,158.3532934,3.844311377,0.718562874,2024-12-19,495.4670659,158.3532934,3.844311377,0.718562874,658.383233551,658.383233551
"BUFFALO SERVICE PROCESSING CENTER","BATAVIA","NY",235.6886228,46.08383234,133.5868263,151.2754491,2024-10-31,235.6886228,46.08383234,133.5868263,151.2754491,566.63473054,566.63473054
"BUTLER COUNTY JAIL","HAMILTON","OH",1.51497006,0.598802395,0.838323353,0.107784431,2021-04-02,1.51497006,0.598802395,0.838323353,0.107784431,3.059880239,3.059880239
"CALHOUN COUNTY CORRECTIONAL CENTER","BATTLE CREEK","MI",56.78443114,35.29341317,30.98203593,15.95209581,2024-08-22,56.78443114,35.29341317,30.98203593,15.95209581,139.01197605,139.01197605
"CAROLINE DETENTION FACILITY","BOWLING GREEN","VA",111.1077844,33.88023952,62.51497006,76.92215569,2024-07-11,111.1077844,33.88023952,62.51497006,76.92215569,284.42514967,284.42514967
"CCA FLORENCE CORRECTIONAL CENTER","FLORENCE","AZ",50.4491018,40.62275449,145.2215569,141.742515,2024-12-12,50.4491018,40.62275449,145.2215569,141.742515,378.03592819,378.03592819
"CENTRAL LOUISIANA ICE PROCESSING CENTER CLIPC","JENA","LA",410.9700599,221.2095808,344.7904192,207.1616766,2025-01-09,410.9700599,221.2095808,344.7904192,207.1616766,1184.1317365,1184.1317365
"CHASE COUNTY JAIL","COTTONWOOD FALL","KS",19.11377246,17.9760479,33.77245509,17.76646707,2024-08-22,19.11377246,17.9760479,33.77245509,17.76646707,88.62874252,88.62874252
"CHIPPEWA COUNTY SSM","SAULT STE MARIE","MI",9.065868263,4.023952096,6.880239521,6.125748503,2024-04-25,9.065868263,4.023952096,6.880239521,6.125748503,26.095808383,26.095808383
"CIBOLA COUNTY CORRECTIONAL CENTER","MILAN","NM",148.1676647,21.33532934,0.760479042,0.658682635,2025-02-27,148.1676647,21.33532934,0.760479042,0.658682635,170.922155717,170.922155717
"CIMMARRON CORR FACILITY","CUSHING","OK",17.05988024,3.670658683,0.311377246,0,NA,17.05988024,3.670658683,0.311377246,0,21.041916169,21.041916169
"CLAY COUNTY JUSTICE CENTER","BRAZIL","IN",53.4011976,29.56886228,91.20958084,63.61676647,2024-06-27,53.4011976,29.56886228,91.20958084,63.61676647,237.79640719,237.79640719
